Word;Count;Percentage
в;3482;2,0032563
и;3078;1,7708279
на;1604;0,92280966
с;1569;0,9026735
не;1496;0,86067533
для;1464;0,8422651
1;1295;0,7450365
2;1038;0,5971798
0;825;0,47463715
вы;811;0,4665827
3;758;0,43609083
что;739;0,42515978
по;698;0,40157175
или;685;0,39409265
а;661;0,38028502
Linux;649;0,3733812
можно;648;0,3728059
то;638;0,3670527
В;636;0,36590207
из;631;0,3630255
4;585;0,33656088
к;571;0,3285064
будет;561;0,32275325
файл;561;0,32275325
нужно;560;0,32217792
это;558;0,32102728
Если;542;0,3118222
только;482;0,27730313
его;457;0,2629202
как;453;0,26061893
если;427;0,24566066
системы;414;0,23818153
все;394;0,22667518
сервера;392;0,22552453
при;373;0,21459351
файла;357;0,20538843
же;355;0,20423779
Для;354;0,20366248
etc;352;0,20251183
5;350;0,20136121
но;345;0,19848461
имя;335;0,19273144
программы;333;0,1915808
от;330;0,18985485
6;322;0,18525231
сервер;319;0,18352635
использовать;306;0,17604722
gtk;304;0,17489658
может;303;0,17432126
о;303;0,17432126
этого;299;0,17201999
вам;290;0,16684215
так;288;0,16569151
есть;271;0,1559111
Windows;270;0,15533578
у;264;0,15188389
IP;254;0,14613071
помощью;252;0,14498007
сети;250;0,14382944
программа;243;0,1398022
ее;240;0,13807626
их;238;0,13692562
например;238;0,13692562
данных;236;0,13577498
этом;235;0,13519967
используется;234;0,13462435
он;233;0,13404903
умолчанию;233;0,13404903
int;228;0,13117245
я;223;0,12829585
файлы;221;0,12714522
файлов;220;0,1265699
который;219;0,12599458
7;218;0,12541927
команды;218;0,12541927
которые;216;0,12426863
пользователя;214;0,12311799
версии;212;0,12196735
dev;211;0,12139204
работы;210;0,120816715
10;209;0,1202414
быть;209;0,1202414
каталог;209;0,1202414
можете;208;0,11966608
чтобы;208;0,11966608
ядра;207;0,119090766
h;201;0,11563887
адрес;201;0,11563887
значение;198;0,1139129
GTK;196;0,112762265
conf;193;0,111036316
вас;193;0,111036316
случае;189;0,108735055
мы;188;0,10815973
функции;188;0,10815973
команду;186;0,10700909
С;184;0,10585847
время;183;0,10528314
система;182;0,10470783
этой;182;0,10470783
com;181;0,1041325
n;180;0,10355719
9;177;0,10183124
8;176;0,101255916
сообщения;176;0,101255916
также;176;0,101255916
установки;173;0,09952997
файле;169;0,0972287
struct;168;0,09665338
уже;168;0,09665338
этот;168;0,09665338
http;159;0,09147552
www;158;0,0909002
пакет;156;0,08974957
den;155;0,08917425
DNS;154;0,08859893
include;153;0,08802361
root;153;0,08802361
список;153;0,08802361
При;152;0,08744829
Это;152;0,08744829
до;149;0,08572234
server;148;0,08514702
всех;147;0,084571704
программу;146;0,083996385
x;145;0,083421074
еще;144;0,082845755
пользователей;144;0,082845755
16;143;0,082270436
доступа;143;0,082270436
после;142;0,08169512
команда;141;0,0811198
позволяет;141;0,0811198
После;141;0,0811198
устройства;140;0,08054448
usr;139;0,07996917
она;139;0,07996917
Рис;139;0,07996917
файловой;139;0,07996917
module;137;0,07881853
ядро;137;0,07881853
Например;135;0,07766789
один;134;0,07709257
log;133;0,07651726
Программа;133;0,07651726
систему;133;0,07651726
ОС;132;0,07594194
поэтому;132;0,07594194
установить;132;0,07594194
нет;131;0,07536662
i;130;0,074791305
пакета;130;0,074791305
системе;130;0,074791305
Apache;129;0,074215986
данные;128;0,07364067
без;127;0,073065355
Листинг;127;0,073065355
всего;125;0,07191472
несколько;125;0,07191472
очень;123;0,07076408
того;123;0,07076408
параметры;121;0,06961345
версия;120;0,06903813
за;120;0,06903813
имени;120;0,06903813
тип;120;0,06903813
А;119;0,06846281
будут;119;0,06846281
информацию;119;0,06846281
которая;119;0,06846281
процесс;118;0,06788749
FTP;117;0,06731217
mod;117;0,06731217
чем;117;0,06731217
12;116;0,066736855
bin;116;0,066736855
пакетов;116;0,066736855
режиме;116;0,066736855
сообщение;116;0,066736855
KDE;115;0,06616154
192;114;0,065586224
является;114;0,065586224
button;113;0,065010905
echo;113;0,065010905
var;113;0,065010905
Чтобы;112;0,06443559
d;111;0,06386027
которых;111;0,06386027
работать;111;0,06386027
могут;110;0,06328495
s;109;0,06270964
под;109;0,06270964
просто;109;0,06270964
через;109;0,06270964
sendmail;108;0,062134314
доступ;108;0,062134314
каталога;108;0,062134314
пользователь;108;0,062134314
указать;108;0,062134314
более;107;0,061558995
том;107;0,061558995
ввода;106;0,060983676
диск;106;0,060983676
Как;106;0,060983676
п;106;0,060983676
168;105;0,060408358
введите;105;0,060408358
директивы;105;0,060408358
каталоге;105;0,060408358
Настройка;105;0,060408358
11;104;0,05983304
httpd;104;0,05983304
UNIX;104;0,05983304
строки;104;0,05983304
эту;104;0,05983304
На;103;0,059257727
памяти;103;0,059257727
устройств;103;0,059257727
t;102;0,05868241
номер;102;0,05868241
home;101;0,05810709
file;100;0,05753177
Вы;100;0,05753177
диска;100;0,05753177
меню;100;0,05753177
Этот;100;0,05753177
режим;98;0,056381132
Теперь;98;0,056381132
15;97;0,05580582
c;97;0,05580582
качестве;97;0,05580582
Таблица;97;0,05580582
число;97;0,05580582
in;96;0,055230502
даже;96;0,055230502
записи;96;0,055230502
соединения;96;0,055230502
Fedora;95;0,054655183
TCP;95;0,054655183
должен;95;0,054655183
они;95;0,054655183
По;95;0,054655183
функция;95;0,054655183
другой;94;0,054079864
ru;93;0,053504545
компьютера;93;0,053504545
init;92;0,052929234
Red;92;0,052929234
информации;92;0,052929234
программ;92;0,052929234
типа;92;0,052929234
IPC;91;0,052353915
загрузки;91;0,052353915
количество;91;0,052353915
обычно;91;0,052353915
widget;90;0,051778596
