Word;Count;Percentage
import;6;3,8709679
new;6;3,8709679
args;5;3,2258062
com;5;3,2258062
csv;5;3,2258062
CSVRow;5;3,2258062
csvRow;5;3,2258062
kolosya;5;3,2258062
entry;4;2,580645
files;4;2,580645
statsCollector;4;2,580645
append;3;1,9354839
csvConfig;3;1,9354839
CSVWriter;3;1,9354839
csvWriter;3;1,9354839
String;3;1,9354839
var;3;1,9354839
word;3;1,9354839
0;2;1,2903225
1;2;1,2903225
CSVConfig;2;1,2903225
CSVConfigBuilder;2;1,2903225
e;2;1,2903225
floatValue;2;1,2903225
for;2;1,2903225
getCount;2;1,2903225
header;2;1,2903225
inputFilename;2;1,2903225
java;2;1,2903225
length;2;1,2903225
Main;2;1,2903225
outputFilename;2;1,2903225
percentage;2;1,2903225
public;2;1,2903225
stats;2;1,2903225
toString;2;1,2903225
wordCounter;2;1,2903225
WordCounterStats;2;1,2903225
wordsCount;2;1,2903225
write;2;1,2903225
100;1;0,6451613
catch;1;0,6451613
class;1;0,6451613
collect;1;0,6451613
Count;1;0,6451613
counter;1;0,6451613
createCSVConfig;1;0,6451613
createWordCounter;1;0,6451613
Float;1;0,6451613
float;1;0,6451613
getMessage;1;0,6451613
getStatistics;1;0,6451613
getWord;1;0,6451613
getWordsCount;1;0,6451613
Integer;1;0,6451613
io;1;0,6451613
IOException;1;0,6451613
main;1;0,6451613
n;1;0,6451613
out;1;0,6451613
out2;1;0,6451613
Percentage;1;0,6451613
println;1;0,6451613
replace;1;0,6451613
setColDelim;1;0,6451613
setEscaping;1;0,6451613
setFilepath;1;0,6451613
setRowDelim;1;0,6451613
src;1;0,6451613
static;1;0,6451613
System;1;0,6451613
try;1;0,6451613
void;1;0,6451613
Word;1;0,6451613
WordCounter;1;0,6451613
WordCounterBu
